ParamID,ParamName,ChineseName,Category,DataType,DefaultValue,MinValue,MaxValue,Unit,Description,RelatedModifiers
MR06,PerfectParryDistancePush,完美弹反推远距离,Reaction,float,15.0,8.0,35.0,cm,完美弹反后相机推远的距离,R02
MR07,PerfectParryFOVPunch,完美弹反FOV冲击,Reaction,float,6.0,3.0,12.0,degree,完美弹反时FOV变化幅度,R02
MR08,PerfectParryShakeIntensity,完美弹反震动强度,Reaction,float,0.8,0.3,1.5,-,完美弹反时震动强度系数,R02
MR09,PerfectParrySlowMotionScale,完美弹反慢动作倍率,Reaction,float,0.3,0.1,0.5,-,完美弹反时时间缩放倍率,R02
MR10,PerfectParrySlowMotionDuration,完美弹反慢动作时长,Reaction,float,0.1,0.05,0.3,s,完美弹反慢动作持续时间,R02
MR11,StaggerDistanceOffset,硬直距离偏移,Reaction,float,30.0,10.0,60.0,cm,敌人硬直时相机拉近距离,R03
MR12,StaggerFOVOffset,硬直FOV偏移,Reaction,float,3.0,1.0,8.0,degree,敌人硬直时FOV缩小幅度,R03
MR13,GuardBreakDistancePull,崩防拉近距离,Reaction,float,20.0,10.0,40.0,cm,崩防时相机拉近距离,R06
MR14,GuardBreakFOVPunch,崩防FOV冲击,Reaction,float,5.0,2.0,10.0,degree,崩防时FOV变化幅度,R06
MC01,ExecutionSideOffset,处决侧面偏移,Cinematic,float,200.0,100.0,350.0,cm,处决相机的侧面偏移距离,C01
MC02,ExecutionHeightOffset,处决高度偏移,Cinematic,float,50.0,0.0,150.0,cm,处决相机的高度偏移,C01
MC03,ExecutionFOV,处决FOV,Cinematic,float,55.0,45.0,70.0,degree,处决时的FOV,C01/C02/C03
MC04,ExecutionBlendInTime,处决进入时间,Cinematic,float,0.15,0.05,0.3,s,进入处决相机的过渡时间,C01
MC05,ExecutionBlendOutTime,处决退出时间,Cinematic,float,0.3,0.1,0.5,s,退出处决相机的过渡时间,C01
MC06,BackstabSideOffset,背刺侧面偏移,Cinematic,float,180.0,80.0,300.0,cm,背刺相机的侧面偏移,C02
MC07,BackstabForwardOffset,背刺前向偏移,Cinematic,float,100.0,50.0,200.0,cm,背刺相机相对敌人前方的偏移,C02
MC08,BackstabFOV,背刺FOV,Cinematic,float,58.0,48.0,72.0,degree,背刺时的FOV,C02
MC09,BossIntroDuration,Boss登场时长,Cinematic,float,4.0,2.0,8.0,s,Boss登场过场的持续时间,C04
MC10,BossIntroFOV,Boss登场FOV,Cinematic,float,80.0,65.0,95.0,degree,Boss登场时的广角FOV,C04
MC11,BossPhaseTransitionDuration,Boss阶段转换时长,Cinematic,float,2.5,1.5,5.0,s,Boss阶段转换的持续时间,C05
MC12,BossPhaseZoomOut,Boss阶段拉远距离,Cinematic,float,200.0,100.0,400.0,cm,Boss阶段转换时相机拉远距离,C05
MZ01,AttackImpactFOVPunch,攻击冲击FOV,Zoom,float,5.0,2.0,12.0,degree,攻击命中时FOV收缩幅度,Z01
MZ02,AttackImpactFOVOvershoot,攻击冲击FOV过冲,Zoom,float,2.0,0.0,5.0,degree,攻击命中后FOV过冲幅度,Z01
MZ03,ChargeReleaseDistancePush,蓄力释放推远距离,Zoom,float,40.0,20.0,80.0,cm,蓄力攻击释放时相机推远距离,Z02
MZ04,ChargeReleaseFOVExpand,蓄力释放FOV扩展,Zoom,float,8.0,4.0,15.0,degree,蓄力攻击释放时FOV扩大幅度,Z02
MZ05,SkillActivateDistanceOffset,技能激活距离偏移,Zoom,float,30.0,15.0,60.0,cm,战技激活时距离变化,Z03
MZ06,SkillActivateFOVOffset,技能激活FOV偏移,Zoom,float,5.0,2.0,12.0,degree,战技激活时FOV变化,Z03
MZ07,CriticalHitFOVPunch,暴击FOV冲击,Zoom,float,4.0,2.0,8.0,degree,暴击时FOV变化幅度,Z04
ME01,LowHealthThreshold,低血量阈值,Effect,float,0.25,0.1,0.4,-,触发低血量效果的血量比例,E01
ME02,LowHealthPulseFrequency,低血量脉动频率,Effect,float,1.5,0.5,3.0,Hz,低血量时的脉动频率,E01
ME03,LowHealthVignetteBase,低血量暗角基础值,Effect,float,0.3,0.1,0.6,-,低血量时的基础暗角强度,E01
ME04,LowHealthVignettePulseScale,低血量暗角脉动幅度,Effect,float,0.2,0.05,0.4,-,低血量时暗角的脉动幅度,E01
ME05,LowHealthTintColor,低血量着色颜色,Effect,FLinearColor,"(1. 0,0.2,0.2,1.0)",-,-,-,低血量时的屏幕着色,E01
ME06,FocusModeFOVOffset,集中模式FOV偏移,Effect,float,-5.0,-15.0,0.0,degree,瞄准模式时FOV减小量,E03
ME07,FocusModeVignetteIntensity,集中模式暗角强度,Effect,float,0.4,0.1,0.8,-,瞄准模式时的暗角强度,E03
ME08,FocusModeDOFDistance,集中模式景深距离,Effect,float,500.0,200.0,1500.0,cm,瞄准模式时的景深焦点距离,E03
MX01,SlowMotionCompensationFactor,慢动作补偿系数,Special,float,0.7,0.3,1.0,-,慢动作时相机速度保留比例,X01
MX02,HitStopDuration_Light,轻击顿帧时长,Special,float,0.05,0.02,0.1,s,轻攻击的顿帧时长,X02
MX03,HitStopDuration_Heavy,重击顿帧时长,Special,float,0.08,0.04,0.15,s,重攻击的顿帧时长,X02
MX04,HitStopPostBounce,顿帧后弹出距离,Special,float,2.0,0.0,5.0,cm,顿帧结束后相机轻微弹出,X02
MX05,DeathCamPullBack,死亡相机后拉距离,Special,float,150.0,50.0,300.0,cm,死亡时相机后拉距离,X03
MX06,DeathCamRaise,死亡相机抬升高度,Special,float,100.0,30.0,200.0,cm,死亡时相机抬升高度,X03
MX07,DeathCamDuration,死亡相机持续时间,Special,float,2.0,1.0,4.0,s,死亡相机效果持续时间,X03
MX08,DeathCamFOV,死亡相机FOV,Special,float,65.0,50.0,80.0,degree,死亡时的FOV,X03
