ID,Category,SubCategory,StateName,ChineseName,Description,Priority,Reference
CameraStatesFull_33,FreeExploration,Collision,Collision_TightCorridor,狭窄走廊模式,走廊中的特殊处理,2,All
CameraStatesFull_34,FreeExploration,Collision,Collision_LowCeiling,低天花板压低,低天花板时压低相机,2,All
CameraStatesFull_35,FreeExploration,Movement,Move_Jump,跳跃中,短暂解除跟随锁定,1,EldenRing
CameraStatesFull_36,FreeExploration,Movement,Move_JumpAerial,空中跳跃,空中状态的镜头,2,EldenRing
CameraStatesFull_37,FreeExploration,Movement,Move_Fall,坠落中,俯视角度变化，强调高度感,1,All
CameraStatesFull_38,FreeExploration,Movement,Move_FallPanic,坠落恐慌模式,极端坠落情况,2,All
CameraStatesFull_39,FreeExploration,Movement,Move_Land,落地瞬间,轻微震动+回正,1,All
CameraStatesFull_40,FreeExploration,Movement,Move_HardLand,重落地,较强震动+FOV冲击,1,All
CameraStatesFull_41,FreeExploration,Movement,Move_Roll,翻滚中,短暂延迟跟随,1,All
CameraStatesFull_42,FreeExploration,Movement,Move_Slide,滑行滑坡,速度感强调,2,Some
CameraStatesFull_43,FreeExploration,Movement,Move_CrouchSlide,蹲滑,蹲下滑行,3,Few
CameraStatesFull_44,FreeExploration,Movement,Move_IceSlide,冰面滑行,冰面上的滑行,3,Few
CameraStatesFull_45,FreeExploration,Movement,Move_SandDuneSlide,沙丘滑行,沙地滑行,3,Few
CameraStatesFull_46,FreeExploration,Movement,Move_SprintToCover,冲刺掩体,冲向掩体,4,Few
CameraStatesFull_47,FreeExploration,Movement,Move_SprintStumbleRecovery,疾跑踉跄恢复,疾跑中踉跄的恢复,3,Few
CameraStatesFull_48,FreeExploration,Movement,Move_Swim_Surface,水面游泳,考虑水平线,2,Some
CameraStatesFull_49,FreeExploration,Movement,Move_Swim_Underwater,水下游泳,可能有不同FOV后处理,2,Some
CameraStatesFull_50,FreeExploration,Movement,Move_Swim_UnderwaterCurrent,水下暗流,受暗流影响时,3,Few
CameraStatesFull_51,FreeExploration,Movement,Move_Swim_Dive,入水瞬间,入水时的镜头,2,Some
CameraStatesFull_52,FreeExploration,Movement,Move_Swim_Emerge,出水瞬间,出水时的镜头,2,Some
CameraStatesFull_53,FreeExploration,Climbing,Climb_Ladder,爬梯子,侧面或俯视固定视角,1,All
CameraStatesFull_54,FreeExploration,Climbing,Climb_Ledge,攀爬边缘,强调手部和目标平台,2,EldenRing
CameraStatesFull_55,FreeExploration,Climbing,Climb_LedgeHang,边缘悬挂,悬挂在边缘时,2,Some
CameraStatesFull_56,FreeExploration,Climbing,Climb_Wall,攀岩爬墙,调整角度看到墙面,3,Few
CameraStatesFull_57,FreeExploration,Climbing,Climb_WallCling,墙壁攀附,贴在墙上,3,Few
CameraStatesFull_58,FreeExploration,Climbing,Climb_WallRun,墙跑,沿墙奔跑,4,Few
CameraStatesFull_59,FreeExploration,Climbing,Climb_WallDash,墙冲,墙上冲刺,4,Few
CameraStatesFull_60,FreeExploration,Climbing,Climb_CeilingCrawl,天花板爬行,在天花板上爬行,4,Few
CameraStatesFull_61,FreeExploration,Climbing,Climb_Rope,爬绳索,爬绳子,3,Few
CameraStatesFull_62,FreeExploration,Climbing,Climb_RopeZip,绳索滑行,沿绳索滑行,4,Few
CameraStatesFull_63,FreeExploration,Climbing,Climb_Shimmy,悬挂侧移,沿边缘侧向移动,3,Few
CameraStatesFull_64,FreeExploration,Climbing,Climb_VaultOver,翻越障碍,翻过障碍物,2,Some
CameraStatesFull_65,FreeExploration,Climbing,Climb_MantleUp,撑起上台,撑起身体上平台,2,Some
CameraStatesFull_66,FreeExploration,Climbing,Climb_DropDown,下落抓取,下落时抓住边缘,2,Some
CameraStatesFull_67,FreeExploration,Climbing,Climb_GrappleSwing,钩索摆荡,用钩索摆荡,4,Sekiro
CameraStatesFull_68,FreeExploration,Climbing,Climb_GrappleHookLaunch,钩索发射,发射钩索,4,Sekiro
CameraStatesFull_69,FreeExploration,Climbing,Climb_GrappleHookSnap,钩索拉拽,被钩索拉过去,4,Sekiro
CameraStatesFull_70,FreeExploration,Mount,Mount_Horse_Idle,骑马静止,骑在马上静止,1,EldenRing
CameraStatesFull_71,FreeExploration,Mount,Mount_Horse_Walk,骑马慢走,骑马缓步,1,EldenRing
CameraStatesFull_72,FreeExploration,Mount,Mount_Horse_Trot,骑马小跑,骑马小跑,1,EldenRing
CameraStatesFull_73,FreeExploration,Mount,Mount_Horse_Gallop,骑马冲刺,更远距离+更广FOV,1,EldenRing
CameraStatesFull_74,FreeExploration,Mount,Mount_Horse_Sprint,骑马极速冲刺,最高速骑行,1,EldenRing
CameraStatesFull_75,FreeExploration,Mount,Mount_Horse_Jump,骑马跳跃,骑马跳跃,1,EldenRing
CameraStatesFull_76,FreeExploration,Mount,Mount_Horse_Combat,骑马战斗,骑马战斗状态,1,EldenRing
CameraStatesFull_77,FreeExploration,Mount,Mount_Horse_CombatLock,骑马战斗锁定,骑马时锁定敌人,1,EldenRing
CameraStatesFull_78,FreeExploration,Mount,Mount_Horse_CombatRanged,骑马远程战斗,骑马时远程攻击,2,EldenRing
CameraStatesFull_79,FreeExploration,Mount,Mount_Dismount,下马过程,下马动作,1,EldenRing
CameraStatesFull_80,FreeExploration,Mount,Mount_DismountCombat,下马战斗,战斗中下马,2,EldenRing
CameraStatesFull_81,FreeExploration,Mount,Mount_Mount,上马过程,上马动作,1,EldenRing
CameraStatesFull_82,FreeExploration,Mount,Mount_MountCinematic,上马过场,上马的过场表现,2,EldenRing
CameraStatesFull_83,FreeExploration,Mount,Mount_TorrentSummonEntry,坐骑召唤进入,召唤灵马,1,EldenRing
CameraStatesFull_84,FreeExploration,Mount,Mount_TorrentDismissExit,坐骑遣散退出,遣散灵马,1,EldenRing
CameraStatesFull_85,FreeExploration,Mount,Mount_Flying,飞行坐骑,飞行中,4,Few
CameraStatesFull_86,FreeExploration,Mount,Mount_GlidingDescent,滑翔下降,滑翔,4,Few
CameraStatesFull_87,FreeExploration,Mount,Mount_Boat,乘船,坐船,4,Few
CameraStatesFull_88,FreeExploration,Mount,Mount_Cart,乘坐载具矿车,乘坐载具,4,Few
CameraStatesFull_89,FreeExploration,Mount,Mount_FastTravel,快速旅行,传送时,2,All
CameraStatesFull_90,FreeExploration,Edge,Edge_CliffDetection,悬崖边缘检测,检测到悬崖边缘,2,All
CameraStatesFull_91,FreeExploration,Edge,Edge_CliffView,悬崖观景,在悬崖边观景,2,All
CameraStatesFull_92,FreeExploration,Edge,Edge_CliffWarning,悬崖警告,危险警告,2,All
CameraStatesFull_93,FreeExploration,Edge,Edge_VistaReveal,风景展示点,展示远景,2,All
CameraStatesFull_94,FreeExploration,Edge,Edge_DangerWarning,危险边缘警告,危险区域警告,2,All
CameraStatesFull_95,FreeExploration,Edge,Edge_BalanceWalk,平衡行走,窄桥等平衡行走,3,Some
CameraStatesFull_96,FreeExploration,Edge,Edge_HighGroundSurvey,高地侦查,在高处侦查,2,All
CameraStatesFull_97,FreeExploration,Edge,Edge_HighGroundElevation,高地视野提升,高处视野更好,2,All
CameraStatesFull_98,FreeExploration,Edge,Edge_TerrainEdgeLookout,地形边缘瞭望,边缘瞭望,2,All
CameraStatesFull_99,FreeExploration,Edge,Edge_LowCrouchPeek,低蹲窥视,蹲下窥视,3,Some
CameraStatesFull_100,FreeExploration,Stealth,Stealth_Default,潜行默认,默认潜行状态,3,Some
CameraStatesFull_101,FreeExploration,Stealth,Stealth_Stalk,潜行跟踪,跟踪敌人,3,Some
CameraStatesFull_102,FreeExploration,Stealth,Stealth_Undetected,未被发现,潜行未被发现,3,Some
CameraStatesFull_103,FreeExploration,Stealth,Stealth_Alerted,被发现瞬间,被敌人发现,2,Some
CameraStatesFull_104,FreeExploration,Stealth,Stealth_Hiding,躲藏中,躲在掩体后,3,Some
CameraStatesFull_105,FreeExploration,AreaTransition,Area_Enter_Normal,普通区域进入,进入新区域,2,All
CameraStatesFull_106,FreeExploration,AreaTransition,Area_Enter_New,新区域进入,首次进入显示名称,1,All
CameraStatesFull_107,FreeExploration,AreaTransition,Area_Enter_Boss,Boss区域进入,进入Boss区域,1,All
CameraStatesFull_108,FreeExploration,AreaTransition,Area_Enter_Safe,安全区域进入,进入安全区,2,All
CameraStatesFull_109,FreeExploration,AreaTransition,Area_Enter_Danger,危险区域进入,进入危险区,2,All
CameraStatesFull_110,FreeExploration,AreaTransition,Area_Enter_Indoor,进入室内,室内场景,2,All
CameraStatesFull_111,FreeExploration,AreaTransition,Area_Enter_Outdoor,进入室外,室外场景,2,All
CameraStatesFull_112,FreeExploration,AreaTransition,Area_Enter_Underground,进入地下,地下场景,2,All
CameraStatesFull_113,FreeExploration,AreaTransition,Area_Enter_Underwater,进入水下区域,水下场景,3,Some
CameraStatesFull_114,FreeExploration,AreaTransition,Area_Transition,区域过渡,区域间过渡,2,All
CameraStatesFull_115,FreeExploration,AreaTransition,Area_BoundaryApproach,边界接近,接近区域边界,2,All
CameraStatesFull_116,FreeExploration,AreaTransition,Area_FogWallApproach,雾门接近,接近雾门,1,All
CameraStatesFull_117,FreeExploration,AreaTransition,Area_Exit,离开区域,离开当前区域,2,All
CameraStatesFull_118,FreeExploration,AreaTransition,Area_Boundary,接近区域边界,区域边界处理,2,All
CameraStatesFull_119,Combat,BasicCombat,Combat_Default,战斗警戒状态,比探索稍近更紧张,1,All
CameraStatesFull_120,Combat,BasicCombat,Combat_Neutral,战斗就绪但未锁定,就绪但未锁定,1,All
CameraStatesFull_121,Combat,BasicCombat,Combat_Ready,战斗准备,准备战斗,1,All
CameraStatesFull_122,Combat,BasicCombat,Combat_Idle,战斗空闲,战斗中空闲,1,All
CameraStatesFull_123,Combat,BasicCombat,Combat_Engaged,战斗交战中,正在交战,1,All
CameraStatesFull_124,Combat,BasicCombat,Combat_Close,近距离战斗,近距离战斗,1,All
CameraStatesFull_125,Combat,BasicCombat,Combat_Far,远距离战斗,远距离战斗,1,All
CameraStatesFull_126,Combat,BasicCombat,Combat_MeleeRange,近战范围,近战范围内,1,All
CameraStatesFull_127,Combat,BasicCombat,Combat_RangedRange,远程范围,远程范围内,1,All
CameraStatesFull_128,Combat,BasicCombat,Combat_Disengage,脱离战斗过渡,脱离战斗,1,All
CameraStatesFull_129,Combat,BasicCombat,Combat_Circling,绕敌人走动,围绕敌人移动,1,All
CameraStatesFull_130,Combat,BasicCombat,Combat_Retreat,战斗后退,战斗中后退,1,All
CameraStatesFull_131,Combat,BasicCombat,Combat_CrowdControl,群控战斗,面对多敌人,2,All
CameraStatesFull_132,Combat,Threat,Threat_AggroAlert,仇恨警报状态,敌人仇恨警报,2,All
CameraStatesFull_133,Combat,Threat,Threat_Proximity,威胁接近检测,威胁接近,2,All
CameraStatesFull_134,Combat,Threat,Threat_PanicZoomIn,恐慌拉近,危险时拉近,2,All
CameraStatesFull_135,Combat,Threat,Threat_EnemyReveal,敌人揭示提示,揭示隐藏敌人,2,All
CameraStatesFull_136,Combat,Threat,Threat_AmbushWarning,伏击警告,伏击警告,2,All
CameraStatesFull_137,Combat,Threat,Threat_HiddenEnemyScan,隐藏敌人扫描,扫描隐藏敌人,3,Some
CameraStatesFull_138,Combat,Threat,Threat_FoeDetectionZoom,敌人探测zoom,探测敌人时zoom,3,Some
CameraStatesFull_139,Combat,LockOn,LockOn_Hard,硬锁定,目标居中,1,All
CameraStatesFull_140,Combat,LockOn,LockOn_HardHead,硬锁定头部,锁定头部,2,Some
CameraStatesFull_141,Combat,LockOn,LockOn_HardTorso,硬锁定躯干,锁定躯干,2,Some
CameraStatesFull_142,Combat,LockOn,LockOn_HardRoot,硬锁定根部脚部,锁定脚部,2,Some
CameraStatesFull_143,Combat,LockOn,LockOn_Soft,软锁定,朝向偏转,1,All
CameraStatesFull_144,Combat,LockOn,LockOn_SoftNearest,软锁定最近目标,锁定最近敌人,1,All
CameraStatesFull_145,Combat,LockOn,LockOn_SoftThreat,软锁定最高威胁,锁定最危险敌人,2,Some
CameraStatesFull_146,Combat,LockOn,LockOn_Acquire,锁定获取,获取锁定,1,All
CameraStatesFull_147,Combat,LockOn,LockOn_Maintain,锁定维持,维持锁定,1,All
CameraStatesFull_148,Combat,LockOn,LockOn_Break,锁定断开,断开锁定,1,All
CameraStatesFull_149,Combat,LockOn,LockOn_BreakRecover,锁定断开恢复,断开后恢复,2,All
CameraStatesFull_150,Combat,LockOn,LockOn_SwitchTarget,切换锁定目标过渡,切换目标,1,All
CameraStatesFull_151,Combat,LockOn,LockOn_TargetScrollUp,目标向上滚动切换,向上切换目标,1,All
CameraStatesFull_152,Combat,LockOn,LockOn_TargetScrollDown,目标向下滚动切换,向下切换目标,1,All
CameraStatesFull_153,Combat,LockOn,LockOn_LoseTarget,失去锁定目标,丢失目标,1,All
CameraStatesFull_154,Combat,LockOn,LockOn_ReleaseFade,解除锁定渐出,解锁渐出,1,All
CameraStatesFull_155,Combat,LockOn,LockOn_MultiTarget,多目标锁定显示,多目标情况,1,All
CameraStatesFull_156,Combat,LockOn,LockOn_MultiTargetBlend,多目标混合,多目标混合,2,All
CameraStatesFull_157,Combat,LockOn,LockOn_MultiTargetPriority,多目标优先级计算,计算优先级,2,All
CameraStatesFull_158,Combat,LockOn,LockOn_Orbit,锁定时轨道移动,绕目标移动,1,All
CameraStatesFull_159,Combat,LockOn,LockOn_Framing,锁定时构图调整,调整构图,1,All
CameraStatesFull_160,Combat,LockOn,LockOn_BehindObstacle,目标被遮挡时的处理,目标被遮挡,1,All
CameraStatesFull_161,Combat,LockOn,LockOn_TargetTooClose,目标过近时拉远,目标太近,1,All
CameraStatesFull_162,Combat,LockOn,LockOn_TargetTooFar,目标过远时的处理,目标太远,1,All
CameraStatesFull_163,Combat,LockOn,LockOn_TargetAbove,目标在上方,目标在上方,1,All
CameraStatesFull_164,Combat,LockOn,LockOn_TargetBelow,目标在下方,目标在下方,1,All
CameraStatesFull_165,Combat,LockOn,LockOn_DynamicAdjust,动态调整,根据敌人大小调整,2,All
CameraStatesFull_166,Combat,LockOn,LockOn_WeakPointFocus,弱点聚焦,锁定弱点,2,Some
CameraStatesFull_167,Combat,LockOn,LockOn_SplineFollow,样条跟随,跟随移动Boss,2,Some
CameraStatesFull_168,Combat,LockOn,LockOn_AutoEngage,自动锁定,自动锁定,2,Some
CameraStatesFull_169,Combat,LockOn,LockOn_DistanceAdjust,锁定距离调整,调整距离,1,All
CameraStatesFull_170,Combat,LockOn,LockOn_Interrupt,锁定中断,锁定被中断,2,All
CameraStatesFull_171,Combat,LockOn,LockOn_PriorityShift,优先级转移,转移优先级,2,All
CameraStatesFull_172,Combat,LockOn,LockOn_EnemyGroupFocus,敌群聚焦,聚焦敌人群,2,All
CameraStatesFull_173,Combat,Attack,Attack_Light,轻攻击,轻微前推感,1,All
CameraStatesFull_174,Combat,Attack,Attack_Heavy,重攻击,更强调的镜头动作,1,All
CameraStatesFull_175,Combat,Attack,Attack_Combo,连击中,保持流畅跟随,1,All
CameraStatesFull_176,Combat,Attack,Attack_ComboFlow,连招流程,连招流程,1,All
CameraStatesFull_177,Combat,Attack,Attack_ComboFlowTrack,连招追踪,追踪连招,1,All
CameraStatesFull_178,Combat,Attack,Attack_AttackFollow,攻击跟随,跟随攻击,1,All
CameraStatesFull_179,Combat,Attack,Attack_Charged,蓄力攻击,zoom-in强调,1,All
CameraStatesFull_180,Combat,Attack,Attack_ChargedPrepare,蓄力准备阶段,准备蓄力,1,All
CameraStatesFull_181,Combat,Attack,Attack_ChargedRelease,蓄力释放瞬间,释放蓄力,1,All
CameraStatesFull_182,Combat,Attack,Attack_WeaponWindup,武器蓄力镜头,武器蓄力,1,All
CameraStatesFull_183,Combat,Attack,Attack_Jumping,跳跃攻击,跳跃攻击,1,EldenRing
CameraStatesFull_184,Combat,Attack,Attack_JumpAttackDive,跳跃攻击俯冲,俯冲攻击,1,EldenRing
CameraStatesFull_185,Combat,Attack,Attack_Plunging,下落攻击插入攻击,下落攻击,1,All
CameraStatesFull_186,Combat,Attack,Attack_Running,冲刺攻击,冲刺攻击,1,All
CameraStatesFull_187,Combat,Attack,Attack_DashLunge,冲刺突进,突进攻击,1,All
CameraStatesFull_188,Combat,Attack,Attack_SlideAttack,滑铲攻击,滑铲,2,Some
CameraStatesFull_189,Combat,Attack,Attack_Backstep,后撤攻击,后撤攻击,1,All
CameraStatesFull_190,Combat,Attack,Attack_Skill,战技技能攻击,战技,1,All
CameraStatesFull_191,Combat,Attack,Attack_WeaponArt_Intro,战技开始,战技开始,1,All
CameraStatesFull_192,Combat,Attack,Attack_WeaponArt_Loop,战技持续,战技持续,1,All
CameraStatesFull_193,Combat,Attack,Attack_WeaponArt_Outro,战技结束,战技结束,1,All
CameraStatesFull_194,Combat,Attack,Attack_Ultimate,大招奥义,大招,2,Some
CameraStatesFull_195,Combat,Attack,Attack_FollowUp,追击攻击,追击,1,All
CameraStatesFull_196,Combat,Attack,Attack_WakeUp,起身攻击,起身攻击,1,All
CameraStatesFull_197,Combat,Attack,Attack_CounterZoom,反击zoom,反击时zoom,1,All
CameraStatesFull_198,Combat,Attack,Attack_DualWield,双持模式,双持武器,1,All
CameraStatesFull_199,Combat,Attack,Attack_DualWieldSpin,双持旋转,双持旋转攻击,2,Some
CameraStatesFull_200,Combat,Attack,Attack_2HMode,双手持握模式,双手持握,1,All
CameraStatesFull_201,Combat,Attack,Attack_WeaponSpecific,武器特定镜头,特定武器镜头,2,All
CameraStatesFull_202,Combat,Attack,Attack_Transform,变形攻击,武器变形攻击,1,Bloodborne
CameraStatesFull_203,Combat,Defend,Defend_Block,举盾格挡,格挡,1,All
CameraStatesFull_204,Combat,Defend,Defend_BlockHit,格挡受击瞬间,格挡受击,1,All
CameraStatesFull_205,Combat,Defend,Defend_BlockBreak,盾被打破崩防,崩防,1,All
CameraStatesFull_206,Combat,Defend,Defend_GuardStance,防御姿态,防御姿态,1,All
CameraStatesFull_207,Combat,Defend,Defend_ShieldDeflectFlash,盾牌弹反闪光,盾反闪光,1,All
CameraStatesFull_208,Combat,Defend,Defend_Parry,弹反成功,弹反,1,All
CameraStatesFull_209,Combat,Defend,Defend_ParryBoost,弹反镜头强调,弹反强调,1,All
CameraStatesFull_210,Combat,Defend,Defend_ParryWindow,弹反判定窗口,弹反窗口,2,All
CameraStatesFull_211,Combat,Defend,Defend_ParryPerfect,完美弹反,完美弹反,1,LiesOfP
CameraStatesFull_212,Combat,Defend,Defend_GunParry,枪械弹反,枪反,1,Bloodborne
CameraStatesFull_213,Combat,Defend,Defend_MidAirParry,空中弹反,空中弹反,2,Some
CameraStatesFull_214,Combat,Defend,Defend_PerfectDodge,完美闪避,完美闪避,1,All
CameraStatesFull_215,Combat,Dodge,Dodge_Roll,翻滚闪避,翻滚,1,All
CameraStatesFull_216,Combat,Dodge,Dodge_RollCamera,翻滚专用镜头,翻滚镜头,1,All
CameraStatesFull_217,Combat,Dodge,Dodge_Backstep,后撤步,后撤步,1,All
CameraStatesFull_218,Combat,Dodge,Dodge_Sidestep,侧闪,侧闪,1,All
CameraStatesFull_219,Combat,Dodge,Dodge_Through,穿越闪避,穿过敌人,1,All
CameraStatesFull_220,Combat,Dodge,Dodge_Quickstep,快速步,血源快速步,1,Bloodborne
CameraStatesFull_221,Combat,Dodge,Dodge_HitReactionDodge,受击闪避,受击后闪避,2,All
CameraStatesFull_222,Combat,Hit,Hit_Light,轻微受击,小震动,1,All
CameraStatesFull_223,Combat,Hit,Hit_Heavy,重击受创,大震动,1,All
CameraStatesFull_224,Combat,Hit,Hit_Critical,暴击,暴击,1,All
CameraStatesFull_225,Combat,Hit,Hit_CriticalFlash,暴击闪光,暴击闪光,1,All
CameraStatesFull_226,Combat,Hit,Hit_Stagger,硬直状态,硬直,1,All
CameraStatesFull_227,Combat,Hit,Hit_StaggerRecovery,硬直恢复,硬直恢复,1,All
CameraStatesFull_228,Combat,Hit,Hit_StaggeredRecoil,硬直后坐,硬直后坐,1,All
CameraStatesFull_229,Combat,Hit,Hit_Knockback,击退中,击退,1,All
CameraStatesFull_230,Combat,Hit,Hit_Knockdown,倒地,倒地,1,All
CameraStatesFull_231,Combat,Hit,Hit_KnockdownGround,倒地状态,在地上,1,All
CameraStatesFull_232,Combat,Hit,Hit_GroundRecovery,地面恢复,地面恢复,1,All
CameraStatesFull_233,Combat,Hit,Hit_Launch,浮空挑飞,浮空,1,All
CameraStatesFull_234,Combat,Hit,Hit_AirborneFlip,空中翻转,空中翻转,2,Some
CameraStatesFull_235,Combat,Hit,Hit_Slam,砸地,砸地,1,All
CameraStatesFull_236,Combat,Hit,Hit_GrabStart,被抓取开始,被抓,1,All
CameraStatesFull_237,Combat,Hit,Hit_GrabHeld,被抓住中,被抓住,1,All
CameraStatesFull_238,Combat,Hit,Hit_GrabThrow,被投掷,被扔,1,All
CameraStatesFull_239,Combat,Hit,Hit_WallSplat,撞墙,撞墙,1,All
CameraStatesFull_240,Combat,Hit,Hit_WallKickRebound,墙壁反弹,墙反弹,2,Some
CameraStatesFull_241,Combat,Hit,Hit_GroundBounce,落地反弹,地反弹,1,All
CameraStatesFull_242,Combat,Hit,Hit_BleedOutShake,流血震动,流血震动,2,Bloodborne
CameraStatesFull_243,Combat,Hit,Hit_PostureBreak,架势崩溃,架势崩溃,1,LiesOfP
CameraStatesFull_244,Combat,Status,Status_Poison,中毒状态,中毒,1,All
CameraStatesFull_245,Combat,Status,Status_Freeze,冻结状态,冻结,1,All
CameraStatesFull_246,Combat,Status,Status_Burn,燃烧状态,燃烧,1,All
CameraStatesFull_247,Combat,Status,Status_Stun,眩晕状态,眩晕,1,All
CameraStatesFull_248,Combat,Status,Status_Curse,诅咒状态,诅咒,1,All
CameraStatesFull_249,Combat,Status,Status_Madness,狂乱状态,狂乱,1,All
CameraStatesFull_250,Combat,Status,Status_Illusion,幻觉状态,幻觉,2,Some
CameraStatesFull_251,Combat,Status,Status_SanityLoss,理智丧失,理智丧失,2,Bloodborne
CameraStatesFull_252,Combat,Status,Status_Bleed,流血状态,流血,1,Bloodborne
CameraStatesFull_253,Combat,Status,Status_Frenzy,狂乱,狂乱,1,Bloodborne
CameraStatesFull_254,Combat,Status,Status_Frost,冻伤,冻伤,1,DarkSouls3
CameraStatesFull_255,Combat,Status,Status_ScarletRot,猩红腐败,猩红腐败,1,EldenRing
CameraStatesFull_256,Combat,Special,Special_Backstab,背刺,背刺,1,All
CameraStatesFull_257,Combat,Special,Special_BackstabZoom,背刺zoom,背刺zoom,1,All
CameraStatesFull_258,Combat,Special,Special_Riposte,处决反击处决,处决,1,All
CameraStatesFull_259,Combat,Special,Special_ViscералAttack,内脏攻击致命一击,内脏攻击,1,Bloodborne
CameraStatesFull_260,Combat,Special,Special_Execution,处刑动画,处刑,1,All
CameraStatesFull_261,Combat,Special,Special_ExecutionDollyZoom,处决推拉变焦,处决推拉,1,All
CameraStatesFull_262,Combat,Special,Special_FinishingBlow,终结一击,终结,1,All
CameraStatesFull_263,Combat,Special,Special_FatalBlow,致命一击,致命一击,1,LiesOfP
CameraStatesFull_264,Combat,Special,Special_Assassination,暗杀,暗杀,2,Some
CameraStatesFull_265,Combat,Special,Special_StealthKill,潜行击杀,潜行击杀,2,Some
CameraStatesFull_266,Combat,Special,Special_StealthAssassin,潜行暗杀镜头,潜行暗杀,2,Some
CameraStatesFull_267,Combat,Special,Special_AerialFinisher,空中终结,空中终结,2,Some
CameraStatesFull_268,Combat,Special,Special_CounterKill,反击击杀,反击击杀,1,All
CameraStatesFull_269,Combat,Special,Special_EnvironmentKill,环境击杀,环境击杀,2,Some
CameraStatesFull_270,Combat,Special,Special_DualFinisher,双人联合终结,双人终结,3,Some
CameraStatesFull_271,Combat,Special,Special_ChainKill,连续击杀,连续击杀,2,Some
CameraStatesFull_272,Combat,Boss,Boss_Intro,Boss登场,Boss登场,1,All
CameraStatesFull_273,Combat,Boss,Boss_IntroCinematic,Boss登场过场,Boss过场,1,All
